t_center,scheme,c2,gamma,nu
1.42,exact,3.799793290671497,0.0194277294719369,-0.006581951714859445
1.42,fwd20,4.0204408479114475,0.7601130793730868,0.32014357007087313
1.42,ctr20,3.754101457237193,0.038559523709857865,0.0018845102792660051
1.42,ctr50,3.6306039381311788,-0.22516192878156255,0.03504943065935795
1.44,exact,3.8048789758509507,-0.05648317187046963,0.17464857087621305
1.44,fwd20,4.005417748540166,0.7312689780465109,0.3224092500531973
1.44,ctr20,3.748285704443667,-0.029643996718740094,0.15782933518252584
1.44,ctr50,3.5346211179639178,-0.07066717134567853,0.06586611408273838
1.46,exact,4.064865696135737,0.11112893363443331,0.0571589857206351
1.46,fwd20,3.984325337271242,0.7127122354105311,0.34352220790881693
1.46,ctr20,4.005755424616206,0.11776501207228787,0.07214308333750583
1.46,ctr50,3.715036160277358,0.02188194882650151,0.07786344388343658
1.48,exact,4.164674564315496,0.10880922525219833,0.04464955852151488
1.48,fwd20,3.977087438754806,0.7026219439576162,0.3375511082544048
1.48,ctr20,4.095691432791966,0.10600199769244645,0.04131036472534111
1.48,ctr50,3.845217014290575,0.08158731937132911,0.02436870804030638
1.5,exact,4.192391298878859,0.14087763985403065,-0.008542934173891029
1.5,fwd20,3.9779226416886297,0.707145332524952,0.3472411854342143
1.5,ctr20,4.164354118792633,0.13079792104194365,-0.012997553437752107
1.5,ctr50,3.9609296513280627,0.09060993305366893,-0.00472568161064044
1.52,exact,4.186500877581885,0.05282011144725818,-0.07454906022070917
1.52,fwd20,3.984351037926177,0.7009714554143939,0.33781352657764085
1.52,ctr20,4.107349287751701,0.12385607774777539,-0.0571117841027414
1.52,ctr50,3.8808891039790328,0.1895575531647126,-0.02629121468936492
1.54,exact,4.067392894836299,-0.16794029490298618,-0.1263999820890919
1.54,fwd20,3.991918006897378,0.68638925458032,0.33416523577586515
1.54,ctr20,3.9722978898787096,-0.16588912968443825,-0.12321380241177007
1.54,ctr50,3.6610993403187804,-0.03353768894993042,-0.10454312415519178
1.56,exact,4.171570787373154,-0.2532951569244014,-0.10011846399147452
1.56,fwd20,3.978127683143329,0.6821265633523885,0.3215516095215777
1.56,ctr20,4.167020104811215,-0.25893644094073687,-0.08412099520598099
1.56,ctr50,3.7132161460999367,-0.13045258159402895,-0.11655607762371484
1.58,exact,4.284533483522285,-0.39513796051736916,-0.0071309705910813925
1.58,fwd20,4.000148479324556,0.6960778014050755,0.3353307324176814
1.58,ctr20,4.190397323431219,-0.38059069175587723,0.006048989551279499
1.58,ctr50,3.921887229795852,-0.2668090010122742,-0.10362456392353782
1.6,exact,4.1803550598399735,-0.13573704661209968,0.012277611622560122
1.6,fwd20,4.007659269005762,0.7283973872165301,0.3489179902124351
1.6,ctr20,4.122514332385435,-0.17632915231498544,-0.006778725012392135
1.6,ctr50,3.810669813774947,-0.3213751845654411,-0.04595638163648957
1.62,exact,4.088867581711212,-0.10004126290713661,-0.06445769229987869
1.62,fwd20,4.025765978409645,0.7453880964656149,0.333053417343004
1.62,ctr20,4.068297490338566,-0.107782074682298,-0.04228642807772749
1.62,ctr50,3.8529425713759853,-0.16218273641751302,0.002536818168845545
1.6400000000000001,exact,3.9605230039335186,-0.15739981151742832,0.0530982433669
1.6400000000000001,fwd20,4.053602754234694,0.776274902237537,0.31349133921013567
1.6400000000000001,ctr20,3.9097757589216062,-0.16555333422093327,0.052040844949162585
1.6400000000000001,ctr50,3.6763887939653284,-0.0976266202387785,0.05042382428802139
1.6600000000000001,exact,3.8612026889290334,-0.008810243456590712,0.06856809755987486
1.6600000000000001,fwd20,4.060849926684631,0.7979074124446586,0.2932720699201236
1.6600000000000001,ctr20,3.811754044868669,-0.03636168977817984,0.07087137552638824
1.6600000000000001,ctr50,4.02163404128545,-0.20447608754915653,-0.20444129190209728
1.68,exact,3.9267256735215734,0.03253580383133052,-0.02159356742293847
1.68,fwd20,4.05509003759863,0.7831284884191734,0.2777749038807915
1.68,ctr20,4.067446796476092,-0.1195110318120772,-0.15415804264994395
1.68,ctr50,3.7554221744910823,-0.07951565232114355,-0.1695539737938111
1.7,exact,3.9122293535454205,-0.017053916355746518,-0.02778769700842979
1.7,fwd20,4.065387465576677,0.7705063415431666,0.28099595956684476
1.7,ctr20,3.91930019841062,-0.02589069079113747,-0.029165890244381903
1.7,ctr50,3.7370320082496384,0.12363560831201476,-0.03873667544316728
1.72,exact,3.937812496700124,-0.017444366520782337,0.016476941525252642
1.72,fwd20,4.02528859535073,0.7581896084514131,0.2644584315098729
1.72,ctr20,3.896581805936356,-0.03457386544908726,0.006442693848091693
1.72,ctr50,3.6822195897067442,-0.005430151804693514,-0.02063850702372047
1.74,exact,3.9663919673442076,-0.09114689692000472,0.0834027273905413
1.74,fwd20,4.017443710638738,0.7366522768936298,0.25396598701408624
1.74,ctr20,3.926868233163924,-0.09727429862559502,0.07516718539284324
